Date,Rating,Title,Review
"February 15, 2021",1,Frustrating and extremely disappointing first experience,I have had the most unreasonable and frustrating first experience with asos. Issues created my asos and asked to be solved by customers.
"February 15, 2021",1,Disappointed Delivery & No Customer Service,I am not happy.
"February 15, 2021",5,My experience with ASOS has been great!,"My experience with ASOS has been great!From the easy to use app, reasonable pricing and quick delivery time frame.I also spoke with ASOS customer support and received very helpful assistance.My only criticism at no fault to ASOS is DHL delivered my package to some random house over an hour away from me. In 2021 this is pretty unacceptable when my address was accurate on the order and there is very little reason why this should have happened.I’m happy with ASOS and I feel confident they will work to resolve this concern."
"February 15, 2021",5,RhainierJohn was very helpful and stuck…,RhainierJohn was very helpful and stuck with me during my bad connection!
"February 15, 2021",5,Excellent customer service,"Excellent customer service. Micaela was super kind and helpful. And I was surprised at how fast she/Asos replied at 10 in the evening! Seamless experience, great work Asos :)"
"February 15, 2021",5,#PromoteMarianne,"Marianne literally is the kindest, most hard working and caring customer service representative I have come across. After literally being on chat for 10 hours and disconnected by multiple reps, Marianne took the time to patiently help me with all my outstanding issues and think outside of the box on how to handle the technical glitches of being disconnected. She saved me so much time and frustration. She truly deserves a promotion and a raise, ASOS do your thing!!!!!!"
"February 15, 2021",5,Speedy response and issue resolved…,Speedy response and issue resolved immediately
"February 15, 2021",5,Enjoyable customer service experience from Coline at ASOS,Coline from ASOS assisted me with my student code promo issue as I was experiencing difficulty applying for it. She was courteous even in her choice of words despite it being a chat log. I throughly enjoyed her efficient customer service experience despite being transferred to a colleague who is able to better rectify the technical problem I was experiencing.
"February 15, 2021",5,MarkAnthony was very helpful and…,MarkAnthony was very helpful and friendly asking me how I am etc. 10/10 customer service :)
"February 15, 2021",5,Great Service,"Polite, usefull and straight to the point. Brill experience."
"February 15, 2021",3,I’m extremely PISSED..,"I’m extremely PISSED... Still have yet to receive my order. I needed it by 2/14.. Today being the 15th... I ordered on 2/7... Still No Items. YES I paid for next day delivery. I just feel like if your going to use COVID or some other excuse for items not being delivered on time REMOVE TGE OTHER SHILLING OPTIONS. If I pay additional money for express, next day or even two day shipping the items SHOULD ARRIVE regardless.. I’ve never been this upset with ASOS now I’ll reconsider my options when shopping online ASOS’s has always been my 1st go to."
"February 15, 2021",5,About Nicola,"About NicolaThe customer service agent was a great help, very polite and reassuring. I felt at ease expressing my concerns."
"February 15, 2021",1,Items missing- be ware!!,"Items missing- be ware!!! I paid for the next day delivery and was very exited to see my parcel arrive. When I opened the parcel I discovered that only a coat arrived but the trainers were missing! Contacted ASOS and they said the parcel was sent as one and they had no idea what happened to the trainers. They said they will refund for the trainers and then sort out replacement which should be done in about 4 days or more - I asked what about my next day delivery I paid for and they said well you not always get the solution you want. So I asked for refund and ordered another pair so I can get it the next day rather than like a week time - unfortunately though I lost 20% discount I got the previous day when I placed the original order. How can items go missing just like that, expensive trainers... seems dodgy... Don't trust them anymore what if more items will go missing??"
"February 15, 2021",1,I wanted to cancel my order because I…,"I wanted to cancel my order because I needed it until 18th of February like it was estimated delivery date that I am seeing on my profile and of course while ordering. Surely I texted to help me and they said it is not possible cause they have sent it already and recommended me to find someone who can receive my order behalf. Great , but I have nobody,because we will be in Russia on 21st of February! Till April ! So I will not have time to send it back to you and receive my money. Also I must pay the big commission for this delivery round 200$ this is the rules in Korea. So thanks a lot,it is not a good service for such big company like ASOS . I will not order from here more , because I see the delivery date until 18th of February on my profile right now and I saw it while ordering that’s why I ordered! Good luck and f....you"
"February 15, 2021",1,Sub par quality,Sold a shoddy pair of boots where the heel wore away in less than 6 weeks! Advised to return due to sub par quality then return was rejected due to the boots being unsuitable for resale!?! The exact reason for returning!
"February 15, 2021",5,Always find the customer service super…,Always find the customer service super friendly and really helpful.
"February 15, 2021",1,Parcel arrived 3 days late when i paid…,Parcel arrived 3 days late when i paid next day delivery and when it came the box was torn into bits and the items were nothing as advertised.
"February 15, 2021",1,Day light robbery,"Worst customer service, unhelpful and rude! Continuously did not listen throughout and sent the same solution multiple times when already mentioned I've tried this.I have had my monies stolen from Topshop which is now Asos and nor Topshop or Asos want to help. Asos, your reputation is sinking and will continue to sink if you're taking on the same level as customer service as Topshop. You both really should be proud of the stealing many customers monies.Why is this any different then a pick pocketer? Or card theft?"
"February 15, 2021",1,"Holding Money, Bad service","I have previously had good experiences with ASOS but the service has been an issue as of late.Three orders in the past month in particular:1. Missing item (not replaced because it was then out of stock)2. Incorrect item sent-- I received shorts rather than long pants in a totally different style. I was told I had to return this incorrect item to receive a refund and then also repurchase the desired item again. In order to receive the same price as originally ordered, they told me to purchase as-is, contact them again, and they would refund the promo amount. After some back and forth, they decided to send me a new code. So now I have paid for the desired item twice.3. Incorrect item received AGAIN. And they will not issue a refund for either item and told me to standby while they dig into the issue. I have now paid $100+ and am supposed to wait 10 days after my items are returned for my refund."
"February 15, 2021",5,Praise for Jeffrey,"Hello.I have just spoken to a gentleman called Jeffrey.  I was having trouble returning 2 out of 3 items as they were unsuitable for my daughter.  It is her Birthday today.  The system said that I had no orders and as a result I couldn't return the 2 items I needed to.I went onto your Live Chat and Jeffrey was absolutely fantastic.Had a great understanding of my problem and sorted it for me by producing a label and sending a QR Code to my email address.He asked all the right questions, was extremely professional, efficient, helpful and understanding.Jeffrey showed sensitivity too as I was feeling quite frustrated at the beginning of our conversation.He is a credit to you and a great ambassador for your organisation in Customer Care.I hope my comments reach him and that you let him know how much he is appreciated.He is doing a great job in these difficult times and I can't praise him enough."
"February 15, 2021",3,The wait for my delivery goes on,I have paid for next day delivery and have never really had an issue before but am now waiting nearly 2 weeks for my order due to adverse weather conditions in Germany surprisingly !
"February 15, 2021",2,I needed to change my delivery date by…,"I needed to change my delivery date by a day, it is due 19th Feb and l needed it the 18th Feb but couldn't be done, even though l pay Premier Delivery"
"February 15, 2021",5,she was efficient and understood what i…,she was efficient and understood what i needed help with without me having to repeat and answer the same questions like last 2-3 reps i talked with.good service and helpful as long as i get the actual results later.thanks again
"February 15, 2021",5,COVID complications,I have several outdated returns and due to COVID have been unable to get out. Emma has been so helpful issuing me new Returns labels and explaining possible outcomes. She could not have been more helpful and patient. Thank you
"February 15, 2021",1,Worst customer service team ever,"I ordered some items on 8th January and they have never been delivered. I contacted their courier DPD who confirmed my address isn’t what ASOS gave to them. Despite this, it has now been 5 weeks and ASOS are refusing to issue me with a refund. I have been in touch with their customer ‘care’ team 8 times over their live chat and Facebook messenger and they literally just ignore me for days on end. I have now received an email stating that DPD are going to attempt to ‘retrieve’ the parcel from where they delivered it and redeliver a used item to me. I have also written to ASOS co plains department and they have ignored me even though they have signed for the letter. ASOS have now lost a loyal customer. Worst customer service I have ever dealt with"
"February 15, 2021",5,Very efficient,"Very efficient, great customer service and resolved my query fast!5* rating from me :)"
"February 15, 2021",4,Although they took a while to deliver,"Although they took a while to deliver, they were very understanding and quick with any refunds I had"
"February 15, 2021",3,Wrong orders,just disappointing company to shop at some time. orders always going wrong and it’s not just me colleagues and friends all have the same problem with this company. When all we can do it order online at the moment just some care in the delivery and attention on the sizes  would be appreciated instead of going back and forth with returning the wrong items. It's a waste of my time and really bad to make customers who might be isolating/vulnerable to make returns and going into shops when they feel afraid.
"February 15, 2021",5,Very helpful and sorted out my problem…,Very helpful and sorted out my problem quickly
"February 15, 2021",5,Stephanie is a star! ⭐️,"Stephanie is an absolute darling! Love talking to customer service that are “human” and interacting, and not just replying from a text book. You do feel more heard and listened to. And Stephanie was a doll! Great job!"
"February 15, 2021",1,Regretting the day i signed in,I couldn't imagine that my first experience with ASOS would be this bad i totally regret the day i created my account. it is shameful experience that i would expect.
"February 15, 2021",5,Coline is AWSOME!,"I have been trying to contact Asos CS with an issue for a few weeks and I understand it can be hard to get back to everyone in a timely manner especially during the holiday season but within 6 minutes of chatting with Coline my issue was resolved, very helpful and sweet individual!"
"February 15, 2021",5,I contacted today about a refund that I was waiting for,I contacted today about a refund that I was waiting for. Rammer looked into it for me and corrected what needed to be corrected. Was very helpful and friendly.
"February 15, 2021",5,Items Missing From Package,"Items were missing from my package, so I contacted customer service through email but no luck. However, chat service was excellent, especially the customer representative Patrick. He was courteous and was able to resolve the issue in a timely manner. I will continue ordering from ASOS with peace of mind. Thank you"
"February 15, 2021",1,ASOS have the WORST customer service,ASOS have the WORST customer service. Still blaming not replying to emails on ‘busy times such as this......’No consideration or understanding to loyal customers that have purchased hundreds of orders.
"February 15, 2021",5,Tracey is a superstar from customer service,I had an issue with my return and refund but all sorted by Tracey. Thank you for your help.
"February 15, 2021",1,Terrible Customer Care,"Placed two separate orders for gift certificates for peoples birthdays, orders were placed two days in advance, confirmation of both orders was received immediately and money was taken from my bank account. 24 hours later received an e-mail saying the first order had been cancelled and my ASOS Account closed, no explanation. Contacted the online chat who basically could not help and said someone from their 'specialist team' would get back to me in 24 to 48 hours, explained that was no good as the birthday  in question was the next day but they said they couldn't do anything, basically tough s***! NOT GOOD ENOUGH BY A LONG SHOT."
"February 15, 2021",1,The services and process is very bad if something goes wrong,"Products don’t fit to size it’s always a guessing game. A lot of stock not in stock. Worst part of all is your experience of something goes wrong, this is when you truly see how much you are valued or not as a customer. My order never arrived, the picture DPD left was of a different address entirely, I went the address the front doors were wide open (as they were in the dpd picture) and there was builders in and out. It is a block of flats and was left in the entrance so anyone could have picked it up and walked away with it. Never the less 10 days later and no update, replacement or refund. I chased many times and even encountered a very rude advisor although the rest were polite. I wanted to share a video of the address versus me going into my home or a anything to provide evidence and no! I have to keep waiting and am £100 down. To top it off it was my birthday and I ordered some new jeans to wear for a birthday dinner that never arrived. Now I have come to see ASOS does not let you give feedback or review their service. They only allow for feedback on products or technical faults so they don’t effect their score. This is shocking and just overall I’m super upset. Ordering online is not the best at times but I have never had this issue so maybe this is normal. I just wanted some birthday jeans."
"February 15, 2021",5,Crisyln was really helpful,Crisyln was really helpful! She resolved my problem very quickly.
"February 15, 2021",5,Big thanks to Anthony :),"Had a missing item from my order, Anthony had resolved it in no time! Excellent customer service :)"
"February 15, 2021",1,I placed an order for some pants,"I placed an order for some pants, after much anticipation I received my order. Only to open the packaging and realise the item is incorrect! Received ladies pants instead of my order MENS pants.. also the colour is completely different to what I ordered! How can this be possible?"
"February 15, 2021",1,Diabolical customer service,"If I could give zero stars!! Ordered items beginning January, parcel lost at Hermes so didn’t receive order. Still constantly chasing for refund. Fobbed off constantly and told something different every time I chase with them. Absolutely diabolical customer service. Charged for goods I’ve not received."
"February 15, 2021",5,Customer support was very quick and…,Customer support was very quick and easy! They resolved my issue very quickly.
"February 15, 2021",5,Great customer service from Stephanie via live chat,Great customer service from Stephanie via live chat. She understood and helped my situation amazingly. 5*
"February 15, 2021",5,Eujolyn served me and was extremely…,Eujolyn served me and was extremely lovely . Very quick service
"February 15, 2021",5,Excellent service,Had issues with retailer not able to print QR code at 3 different places so went onto ASOS chat and messaged with Mary who resolved the issue promptly and courteously so thank you
"February 15, 2021",5,really helpful and quick to help with…,really helpful and quick to help with issue
"February 15, 2021",4,Damaged and crushed delivery,"Hi,I received my order damaged, ripped and broken, Glass is crushed and I even hurt my hand because of the crushed glass.I really hope that my order will be replaced and I will get it in a good condition + I really expected to get compensated for this awful delivery and the fact I hurt my self.The service was very good and I have no complaints about it"
"February 15, 2021",1,I'm above and beyond disappointed at…,"I'm above and beyond disappointed at the lack of consideration for customers, especially during this pandemic.  Not only did I pay for 2 day express for a wedding trip and items wont arrive until I'm gone... but ASOS customer service told me I can't get a refund because DHL is still delivering the package.  WOW! So I'm short of almost 400 dollars worth of merchandise and. nothing to wear for a wedding trip... and I""m the Bride.  This is painful, to say the least, and disappointed at the lack of effort customer service to resolve the issue"
"February 15, 2021",1,Totally useless,"Totally useless. When trying to make a return using Collect Plus (the service offered by Asos) I tried my two local collection points three times each, and each time the collection points refused to take my parcel (with excuses alternating between their machine being broken and/or that I could only make a drop-off if I went at 8am). Took me three different days of going out and walking around for 45-60 mins each time before I was finally able to return my parcel. Way too much hassle."
"February 15, 2021",1,Change your policy ASOS,"I have just received an order, to find ASOS sent me the wrong item, £10 cheaper than the goods I purchased. I contact customer care ASAP. Here I am told I would have to return the wrong item sent first, to then receive a refund or replacement. The person I spoke to said this was their policy and they had to do it this way. This is extremely unfair on the customer when the fault is not theirs and means I will have to wait much longer to receive my goods I’ve paid for, not to mention I paid for the Premier Delivery too. I also am disabled and struggle to get out and about, so this will affect my ability as to when I can return this item. Although this is nothing to do with ASOS and I’m aware when I purchase online if I do not like the product/does not fit etc, I at some point will have to return it, but this situation is completely not of my doing and a mistake by the company, yet they are not making any concessions to help me receive my goods sooner or make the situation easier for me. I’m very disappointed with their policy and the fact they did not wish to rectify it in a way that was more helpful to the customer. It’s made me look at ASOS very differently. It seems to me, a big company isn’t so caring about their customers satisfaction and therefore I in future will avoid purchasing from them and will try to help smaller companies when possible. I hope others will do the same too, so big companies learn to treat their customers fairly!!!"
"February 15, 2021",5,Personalised service,"Personalised service, polite and queries answered correctly."
"February 15, 2021",4,I was upset about not all my orders…,I was upset about not all my orders coming in. He reassured that the rest will be coming in 4 days with a confirmation email. I will be awaiting the email.
"February 15, 2021",5,Thanks so much for the help,"Thanks so much for the help, she was great - super quick, kind and helpful. Appreciate it!"
"February 15, 2021",1,I’d give no stars if I could,"I’d give no stars if I could, brutal from start to finish. Everything’s generic and not one bit helpful"
"February 15, 2021",2,Different experiences all the time,Different experiences all the time. Asked the same question as I have previously regarding a discount code and exchanges etc was given a different and none useful answer this time compared to the help I have been given in the past.
"February 15, 2021",1,I wouldn’t ever purchase from ASOS…,"I wouldn’t ever purchase from ASOS again, I received a low quality dress that was falling apart and now I’m out almost 200 dollars as they don’t refund any tax or customs or shipping."
"February 15, 2021",4,Refund wasn’t automatic and not easy to…,"Refund wasn’t automatic and not easy to find in the website. But once in chat, Jerico was very helpful and reassuring"
"February 15, 2021",1,Don't shop at ASOS!,"I had placed my order at the night before when an extra 20% was rolled out. I tried to cancel my order within 13 hours to replace my order with the coupon code but was informed there is nothing they could do even though my order hasn't been shipped yet and it has only been 13 hours since I placed my order. I don't know if it is a UK company thing but most US companies would honor the promo code. If you are from the US, let's support our local companies."
"February 15, 2021",5,Great Experience,"So I contacted the chat, to amend an order for a return. The individual I talked to was very polite and was quite quick to respond to my issue. I found this chat a very efficient way to solve problems."
"February 15, 2021",5,Helpful.,Very helpful and resolved my issue very quickly.
"February 15, 2021",5,Perfect,Perfect Nice to deal with asos and the costumer service very good
"February 15, 2021",5,Micheal was helpful and dealt with my…,"Micheal was helpful and dealt with my query efficiently. Having dealt with several different advisors over the last 10 days, Micheal was the most helpful and has solved my issue. Thank you."
"February 15, 2021",5,Really helpful and nice :),Chara was very lovely and helpful! Replied very quickly and helped me sort the problem with my order.
"February 15, 2021",5,My merchandise arrived damaged and I…,"My merchandise arrived damaged and I was a little worried about how my issue would be handled due to this being my very first time ordering from this site and getting a faulty item, but I am satisfied with the solution and I hope that the company follows through with their actions to resolve the problem."
"February 15, 2021",5,Liezel was so helpful to solve my…,Liezel was so helpful to solve my problem
"February 15, 2021",2,scripted unhelpful answers,"I had a pretty complicated case, that's why I contacted the support. First I sent an email since this wasn't urgent. My email was never answered, so I contacted the live chat. I talked to 3 different operators, and all 3 of them gave contradicting answers. The last one (Mary) was the most unhelpful. She ignored the claim context I've provided and was unable to answer simple, yes-or-no kind of questions."
"February 15, 2021",1,Please re-read my email and provide a…,"Please re-read my email and provide a better response. You obviously didn’t read my email correctly, because your answer was inadequate. The shoe was advertised as unisex. I received one pair in male size, so why was the other one I received in female size. I ordered two pairs of the SAME SHOE in two different sizes!"
"February 15, 2021",1,Terrible customer service,"Terrible customer service.  They have not refunded me the shoes I returned  over 3 months ago. They continue to give me the run around. First saying they are refunding my account and to wait ten days.  Well, no refund.  Then they said to wait another 10 days..no refund. Then they said they credited my account,  but they have not, my credit card statements prove they have not. Also, they asked me to give them copies of my credit card statements to look into the matter! That is shady.   A reputable business does not need its customers to send them personal credit card statements to find out if they processed a return.  Customer service is a joke.  Its often an automatic response system.  Also,  I had to repeat my story over and over again because no one had knowledge of it. I opened up a case with my credit card company will be getting my refund. They will deal with this terrible company."
"February 15, 2021",5,Very quick and efficient service from…,Very quick and efficient service from Anna! Thank you
"February 15, 2021",1,False Promo Codes and Poor Customer Service,I purchased multiple items in order to meet the requirement to use a promo code to get free next day delivery.The items showed up the following week. When i reached out to customer service they said they would refund me for what would’ve been the next day delivery fee.After two weeks I reached out to customer service again to follow up on my refund. They told me there was nothing they could do and i would not be receiving a refund.This is extremely frustrating as I purchased multiple items to use the promo code. Only to be lied to about the next day delivery and ignored by customer service.
"February 15, 2021",4,Product arrived broken in the post but…,Product arrived broken in the post but customer service quickly organised a replacement.
"February 15, 2021",5,Assistant was very good and responsive,Assistant was very good and responsive. Couldn’t ask for any better
"February 15, 2021",5,Quick and easy service to use,"Quick and easy service to use, Stephanie was very helpful"
"February 15, 2021",5,Customer service excellent,"Really helpful and pleasant, dealt with my query quickly and efficiently."
"February 15, 2021",5,Danielle was really kind and she really…,Danielle was really kind and she really did her best to see where my missing order was and she was really professional Thanks to her I now know what is happening with my order
"February 15, 2021",5,Very easy and simple,"Very easy and simple, thank you so much"
"February 15, 2021",1,Horrible experience,Horrible experience. I asked about an online order and wanted to know if it’s still schedule to be here on time for a wedding. The representative took forever to answer and didn’t even answer my question and said goodbye. Then I asked for a customer service number and they ignored me and never replied so I had to leave the chat. What a waste of time and not the experience I thought I’d receive from ASOS.
"February 15, 2021",5,Really helpful customer service,Really helpful customer service - very clear and helpful. Roberto was very nice and helpful.
"February 15, 2021",5,Perfectly splendid,"JoannaRose was really really helpful, quick, and straightforward! Thank you once again!"
"February 15, 2021",5,Leah was very helpful and resolved my…,Leah was very helpful and resolved my issue quickly.
"February 15, 2021",5,Positive Experience!,"Kier was professional, quick to respond and sorted out my refund straight away"
"February 15, 2021",5,Really helpful and stayed online for me…,Really helpful and stayed online for me even when I kept getting cut off
"February 15, 2021",4,The advisor was very profession al,"The advisor was very profession al, but the systèm slow"
"February 15, 2021",5,Helpful,"Helpful, quick  and efficient"
"February 15, 2021",5,Very kind representative,"Very kind representative, explained everything very well. His name is Andrew"
"February 15, 2021",5,The best of a bad situation,"Melvin was a great help in sorting my refund. Although i was disappointed that my order did not arrive the, customer service supplied by Melvin made me more likely to shop at asos again."
"February 15, 2021",5,Very good response from patricia,"Very good response from patricia, finally problem solved with the refund.This is the second time i have a problem with refund"
"February 15, 2021",5,Good when you get a good person,Beth was really helpful after a complicated order and several mix ups - she fixed it in 5 minutes!
"February 15, 2021",5,Fast delivery,"Fast delivery. Dress is perfect in size, quality is amazing and the design awesome, exactly what I expect from them. Genuine product. Would recommend this to anyone, thank you."
"February 15, 2021",4,Very friendly and helpful chat with…,Very friendly and helpful chat with Michael. However I have to log in to chat to someone again when I receive my parcel to request a refund on next day delivery. Michael was really helpful and answered all my questions but could not process my refund until item was delivered. I ordered next day delivery and 5 days later am still waiting on my parcel.
"February 15, 2021",5,Courtney has been extremely helpful and…,Courtney has been extremely helpful and understanding with the issue i experienced with my order.
"February 15, 2021",5,Perfect,Perfect. The problem was solved.
"February 15, 2021",5,Mary was very quick and helpful is…,Mary was very quick and helpful is resolving the returns issue. Very happy with the service. Thank you for making life a little bit easier :)
"February 15, 2021",5,I got in touch today as I boughtts some…,I got in touch today as I boughtts some boots in January only worn a few times but thee soled had spilt on one boot I was disappointed with the product and was hoping to get a replacement but unfortunately there was not longer available so instead I Wass offered a refund which I was very happy with and only took 5 minutes to sort this out.
"February 15, 2021",5,Richard at customer services was an…,Richard at customer services was an absolute ⭐️ and sorted my issue out very promptly. Thank you!
"February 15, 2021",5,Quick to help,Quick to help. Thank you for sorting the issue
"February 15, 2021",3,I got the items I ordered 5 days later…,I got the items I ordered 5 days later than I should have had and one dress was wrong size.The items themselves are looking good.
"February 15, 2021",3,After being cut off from two previous…,"After being cut off from two previous chats, I spoke with Alexis who helped me resolve an issue with incorrect shoe size that was delivered today. Alexis was very efficient and quick with her responses and accomplished my desired outcome of the situation."
"February 15, 2021",5,"Quick, easy and efficent","Quick, easy and efficient. Anna sorted out a refund for a faulty item immediately. Great service."
"February 15, 2021",3,Boss quality and ASOS credit policy disappointing,"purchased a Boss shirt in Dec and only unwrapped now for iron which melted blue detailing. There was no warning/advice with shirt to suggest caution. As this was over 45 days since ordered, ASOS policy only to supply voucher even though this shirt has never got to be worn and is poor quality considering this happened on first iron!! Chat host Roszie helpful though thus 3/5"
"February 15, 2021",5,Great quick clear no nonsense help from…,Great quick clear no nonsense help from Alexander. Much appreciated!
